id_comorbilidad,hemorragicos,diabetes,hipertension,enfermedad_ulc_peptica,enfermedad_renal,inmunosupr,cirrosis_hepatica,embarazo
43,SI,SI,NO,SI,NO,SI,NO,SI
44,SI,SI,NO,SI,NO,SI,NO,NO
45,SI,SI,NO,SI,NO,NO,SI,SI
46,SI,SI,NO,SI,NO,NO,SI,NO
47,SI,SI,NO,SI,NO,NO,NO,SI
48,SI,SI,NO,SI,NO,NO,NO,NO
49,SI,SI,NO,NO,SI,SI,SI,SI
50,SI,SI,NO,NO,SI,SI,SI,NO
51,SI,SI,NO,NO,SI,SI,NO,SI
52,SI,SI,NO,NO,SI,SI,NO,NO
53,SI,SI,NO,NO,SI,NO,SI,SI
54,SI,SI,NO,NO,SI,NO,SI,NO
55,SI,SI,NO,NO,SI,NO,NO,SI
56,SI,SI,NO,NO,SI,NO,NO,NO
57,SI,SI,NO,NO,NO,SI,SI,SI
58,SI,SI,NO,NO,NO,SI,SI,NO
59,SI,SI,NO,NO,NO,SI,NO,SI
60,SI,SI,NO,NO,NO,SI,NO,NO
61,SI,SI,NO,NO,NO,NO,SI,SI
62,SI,SI,NO,NO,NO,NO,SI,NO
63,SI,SI,NO,NO,NO,NO,NO,SI
64,SI,SI,NO,NO,NO,NO,NO,NO
65,SI,NO,SI,SI,SI,SI,SI,SI
66,SI,NO,SI,SI,SI,SI,SI,NO
67,SI,NO,SI,SI,SI,SI,NO,SI
68,SI,NO,SI,SI,SI,SI,NO,NO
69,SI,NO,SI,SI,SI,NO,SI,SI
70,SI,NO,SI,SI,SI,NO,SI,NO
71,SI,NO,SI,SI,SI,NO,NO,SI
72,SI,NO,SI,SI,SI,NO,NO,NO
73,SI,NO,SI,SI,NO,SI,SI,SI
74,SI,NO,SI,SI,NO,SI,SI,NO
75,SI,NO,SI,SI,NO,SI,NO,SI
76,SI,NO,SI,SI,NO,SI,NO,NO
77,SI,NO,SI,SI,NO,NO,SI,SI
78,SI,NO,SI,SI,NO,NO,SI,NO
79,SI,NO,SI,SI,NO,NO,NO,SI
80,SI,NO,SI,SI,NO,NO,NO,NO
81,SI,NO,SI,NO,SI,SI,SI,SI
82,SI,NO,SI,NO,SI,SI,SI,NO
83,SI,NO,SI,NO,SI,SI,NO,SI
84,SI,NO,SI,NO,SI,SI,NO,NO
85,SI,NO,SI,NO,SI,NO,SI,SI
86,SI,NO,SI,NO,SI,NO,SI,NO
87,SI,NO,SI,NO,SI,NO,NO,SI
88,SI,NO,SI,NO,SI,NO,NO,NO
89,SI,NO,SI,NO,NO,SI,SI,SI
90,SI,NO,SI,NO,NO,SI,SI,NO
91,SI,NO,SI,NO,NO,SI,NO,SI
92,SI,NO,SI,NO,NO,SI,NO,NO
93,SI,NO,SI,NO,NO,NO,SI,SI
94,SI,NO,SI,NO,NO,NO,SI,NO
95,SI,NO,SI,NO,NO,NO,NO,SI
96,SI,NO,SI,NO,NO,NO,NO,NO
97,SI,NO,NO,SI,SI,SI,SI,SI
98,SI,NO,NO,SI,SI,SI,SI,NO
99,SI,NO,NO,SI,SI,SI,NO,SI
100,SI,NO,NO,SI,SI,SI,NO,NO
101,SI,NO,NO,SI,SI,NO,SI,SI
102,SI,NO,NO,SI,SI,NO,SI,NO
103,SI,NO,NO,SI,SI,NO,NO,SI
104,SI,NO,NO,SI,SI,NO,NO,NO
105,SI,NO,NO,SI,NO,SI,SI,SI
106,SI,NO,NO,SI,NO,SI,SI,NO
107,SI,NO,NO,SI,NO,SI,NO,SI
108,SI,NO,NO,SI,NO,SI,NO,NO
109,SI,NO,NO,SI,NO,NO,SI,SI
110,SI,NO,NO,SI,NO,NO,SI,NO
111,SI,NO,NO,SI,NO,NO,NO,SI
112,SI,NO,NO,SI,NO,NO,NO,NO
113,SI,NO,NO,NO,SI,SI,SI,SI
114,SI,NO,NO,NO,SI,SI,SI,NO
115,SI,NO,NO,NO,SI,SI,NO,SI
116,SI,NO,NO,NO,SI,SI,NO,NO
117,SI,NO,NO,NO,SI,NO,SI,SI
118,SI,NO,NO,NO,SI,NO,SI,NO
119,SI,NO,NO,NO,SI,NO,NO,SI
120,SI,NO,NO,NO,SI,NO,NO,NO
121,SI,NO,NO,NO,NO,SI,SI,SI
122,SI,NO,NO,NO,NO,SI,SI,NO
123,SI,NO,NO,NO,NO,SI,NO,SI
124,SI,NO,NO,NO,NO,SI,NO,NO
125,SI,NO,NO,NO,NO,NO,SI,SI
126,SI,NO,NO,NO,NO,NO,SI,NO
127,SI,NO,NO,NO,NO,NO,NO,SI
128,SI,NO,NO,NO,NO,NO,NO,NO
129,NO,SI,SI,SI,SI,SI,SI,SI
130,NO,SI,SI,SI,SI,SI,SI,NO
131,NO,SI,SI,SI,SI,SI,NO,SI
132,NO,SI,SI,SI,SI,SI,NO,NO
133,NO,SI,SI,SI,SI,NO,SI,SI
134,NO,SI,SI,SI,SI,NO,SI,NO
135,NO,SI,SI,SI,SI,NO,NO,SI
136,NO,SI,SI,SI,SI,NO,NO,NO
137,NO,SI,SI,SI,NO,SI,SI,SI
138,NO,SI,SI,SI,NO,SI,SI,NO
139,NO,SI,SI,SI,NO,SI,NO,SI
140,NO,SI,SI,SI,NO,SI,NO,NO
141,NO,SI,SI,SI,NO,NO,SI,SI
142,NO,SI,SI,SI,NO,NO,SI,NO
143,NO,SI,SI,SI,NO,NO,NO,SI
144,NO,SI,SI,SI,NO,NO,NO,NO
145,NO,SI,SI,NO,SI,SI,SI,SI
146,NO,SI,SI,NO,SI,SI,SI,NO
147,NO,SI,SI,NO,SI,SI,NO,SI
148,NO,SI,SI,NO,SI,SI,NO,NO
149,NO,SI,SI,NO,SI,NO,SI,SI
150,NO,SI,SI,NO,SI,NO,SI,NO
151,NO,SI,SI,NO,SI,NO,NO,SI
152,NO,SI,SI,NO,SI,NO,NO,NO
153,NO,SI,SI,NO,NO,SI,SI,SI
154,NO,SI,SI,NO,NO,SI,SI,NO
155,NO,SI,SI,NO,NO,SI,NO,SI
156,NO,SI,SI,NO,NO,SI,NO,NO
157,NO,SI,SI,NO,NO,NO,SI,SI
158,NO,SI,SI,NO,NO,NO,SI,NO
159,NO,SI,SI,NO,NO,NO,NO,SI
160,NO,SI,SI,NO,NO,NO,NO,NO
161,NO,SI,NO,SI,SI,SI,SI,SI
162,NO,SI,NO,SI,SI,SI,SI,NO
163,NO,SI,NO,SI,SI,SI,NO,SI
164,NO,SI,NO,SI,SI,SI,NO,NO
165,NO,SI,NO,SI,SI,NO,SI,SI
166,NO,SI,NO,SI,SI,NO,SI,NO
167,NO,SI,NO,SI,SI,NO,NO,SI
168,NO,SI,NO,SI,SI,NO,NO,NO
169,NO,SI,NO,SI,NO,SI,SI,SI
170,NO,SI,NO,SI,NO,SI,SI,NO
171,NO,SI,NO,SI,NO,SI,NO,SI
172,NO,SI,NO,SI,NO,SI,NO,NO
173,NO,SI,NO,SI,NO,NO,SI,SI
174,NO,SI,NO,SI,NO,NO,SI,NO
175,NO,SI,NO,SI,NO,NO,NO,SI
176,NO,SI,NO,SI,NO,NO,NO,NO
177,NO,SI,NO,NO,SI,SI,SI,SI
178,NO,SI,NO,NO,SI,SI,SI,NO
179,NO,SI,NO,NO,SI,SI,NO,SI
180,NO,SI,NO,NO,SI,SI,NO,NO
181,NO,SI,NO,NO,SI,NO,SI,SI
182,NO,SI,NO,NO,SI,NO,SI,NO
183,NO,SI,NO,NO,SI,NO,NO,SI
184,NO,SI,NO,NO,SI,NO,NO,NO
185,NO,SI,NO,NO,NO,SI,SI,SI
186,NO,SI,NO,NO,NO,SI,SI,NO
187,NO,SI,NO,NO,NO,SI,NO,SI
188,NO,SI,NO,NO,NO,SI,NO,NO
189,NO,SI,NO,NO,NO,NO,SI,SI
190,NO,SI,NO,NO,NO,NO,SI,NO
191,NO,SI,NO,NO,NO,NO,NO,SI
192,NO,SI,NO,NO,NO,NO,NO,NO
193,NO,NO,SI,SI,SI,SI,SI,SI
194,NO,NO,SI,SI,SI,SI,SI,NO
195,NO,NO,SI,SI,SI,SI,NO,SI
196,NO,NO,SI,SI,SI,SI,NO,NO
197,NO,NO,SI,SI,SI,NO,SI,SI
198,NO,NO,SI,SI,SI,NO,SI,NO
199,NO,NO,SI,SI,SI,NO,NO,SI
200,NO,NO,SI,SI,SI,NO,NO,NO
201,NO,NO,SI,SI,NO,SI,SI,SI
202,NO,NO,SI,SI,NO,SI,SI,NO
203,NO,NO,SI,SI,NO,SI,NO,SI
204,NO,NO,SI,SI,NO,SI,NO,NO
205,NO,NO,SI,SI,NO,NO,SI,SI
206,NO,NO,SI,SI,NO,NO,SI,NO
207,NO,NO,SI,SI,NO,NO,NO,SI
208,NO,NO,SI,SI,NO,NO,NO,NO
209,NO,NO,SI,NO,SI,SI,SI,SI
210,NO,NO,SI,NO,SI,SI,SI,NO
211,NO,NO,SI,NO,SI,SI,NO,SI
212,NO,NO,SI,NO,SI,SI,NO,NO
213,NO,NO,SI,NO,SI,NO,SI,SI
214,NO,NO,SI,NO,SI,NO,SI,NO
215,NO,NO,SI,NO,SI,NO,NO,SI
216,NO,NO,SI,NO,SI,NO,NO,NO
217,NO,NO,SI,NO,NO,SI,SI,SI
218,NO,NO,SI,NO,NO,SI,SI,NO
219,NO,NO,SI,NO,NO,SI,NO,SI
220,NO,NO,SI,NO,NO,SI,NO,NO
221,NO,NO,SI,NO,NO,NO,SI,SI
222,NO,NO,SI,NO,NO,NO,SI,NO
223,NO,NO,SI,NO,NO,NO,NO,SI
224,NO,NO,SI,NO,NO,NO,NO,NO
225,NO,NO,NO,SI,SI,SI,SI,SI
226,NO,NO,NO,SI,SI,SI,SI,NO
227,NO,NO,NO,SI,SI,SI,NO,SI
228,NO,NO,NO,SI,SI,SI,NO,NO
229,NO,NO,NO,SI,SI,NO,SI,SI
230,NO,NO,NO,SI,SI,NO,SI,NO
231,NO,NO,NO,SI,SI,NO,NO,SI
232,NO,NO,NO,SI,SI,NO,NO,NO
233,NO,NO,NO,SI,NO,SI,SI,SI
234,NO,NO,NO,SI,NO,SI,SI,NO
235,NO,NO,NO,SI,NO,SI,NO,SI
236,NO,NO,NO,SI,NO,SI,NO,NO
237,NO,NO,NO,SI,NO,NO,SI,SI
238,NO,NO,NO,SI,NO,NO,SI,NO
239,NO,NO,NO,SI,NO,NO,NO,SI
240,NO,NO,NO,SI,NO,NO,NO,NO
241,NO,NO,NO,NO,SI,SI,SI,SI
242,NO,NO,NO,NO,SI,SI,SI,NO
243,NO,NO,NO,NO,SI,SI,NO,SI
244,NO,NO,NO,NO,SI,SI,NO,NO
245,NO,NO,NO,NO,SI,NO,SI,SI
246,NO,NO,NO,NO,SI,NO,SI,NO
247,NO,NO,NO,NO,SI,NO,NO,SI
248,NO,NO,NO,NO,SI,NO,NO,NO
249,NO,NO,NO,NO,NO,SI,SI,SI
250,NO,NO,NO,NO,NO,SI,SI,NO
251,NO,NO,NO,NO,NO,SI,NO,SI
252,NO,NO,NO,NO,NO,SI,NO,NO
253,NO,NO,NO,NO,NO,NO,SI,SI
254,NO,NO,NO,NO,NO,NO,SI,NO
255,NO,NO,NO,NO,NO,NO,NO,SI
256,NO,NO,NO,NO,NO,NO,NO,NO
